orig1+TLres50,trans1+TLvgg16+Adam,normf1+TLvgg16,mix+lr,mix+lgb,mix+svm,lr9,xgb,svm,knn,avg2,mini2,id
0.042638,0.012704,0.047947,0.004939,0.084877,0.109784,0.010339,0.041586,0.009558,0.048438,0.027480,0.040736,5941774d
0.635144,0.479274,0.385688,0.999584,0.883075,0.989249,0.807971,0.903653,0.841273,0.867362,0.855065,0.893923,4023181e
0.011445,0.000052,0.001072,1.000000,0.011936,0.273804,0.020771,0.017792,0.010907,0.057899,0.026842,0.024811,b20200e4
0.999374,0.996001,0.998098,0.963870,0.995109,0.984362,0.989768,0.994674,0.982609,0.999000,0.991513,0.996062,e7f018bb
0.509366,0.042978,0.022157,0.999994,0.504518,0.885033,0.187754,0.433252,0.190194,0.224531,0.258933,0.378449,4371c8c3
0.448622,0.225659,0.822764,1.000000,0.090648,0.987584,0.490385,0.559914,0.433211,0.544022,0.506883,0.549108,a8d9b1fd
0.030822,0.078006,0.028640,0.034105,0.004408,0.035866,0.009097,0.005768,0.009351,0.027671,0.012972,0.010096,29e7727e
0.998713,0.997334,0.999276,0.998707,0.999789,0.999900,0.990384,0.994458,0.982486,0.999000,0.991582,0.995892,92a51ffb
0.000351,0.000048,0.000108,0.003840,0.007127,0.007952,0.006515,0.004897,0.009280,0.001000,0.005423,0.004478,c769ac97
0.000000,0.000156,0.000093,0.000000,0.000262,0.000100,0.006339,0.004900,0.009311,0.001000,0.005387,0.004482,aee0547d
0.000000,0.000000,0.000042,0.000081,0.003943,0.003210,0.006410,0.004918,0.009298,0.001000,0.005406,0.004495,565b28ac
0.209525,0.194385,0.074788,0.955875,0.871553,0.946132,0.392469,0.738927,0.328646,0.293168,0.438303,0.629042,e04e9775
0.014354,0.001337,0.002244,0.000296,0.000752,0.000100,0.006476,0.004900,0.009285,0.001000,0.005415,0.004480,8e8161d1
0.724138,0.607515,0.579861,0.945127,0.859434,0.617341,0.842808,0.962368,0.896647,0.913743,0.903892,0.950198,4cf4d256
0.254835,0.023108,0.046723,1.000000,0.403814,0.472692,0.081239,0.289061,0.036146,0.113413,0.129965,0.239537,139e5324
0.022388,0.003810,0.011018,0.009588,0.003080,0.001672,0.006781,0.004900,0.009264,0.001000,0.005486,0.004479,f156976f
0.254742,0.082703,0.012629,0.999892,0.821799,0.945377,0.293806,0.519524,0.264849,0.241390,0.329892,0.451134,68a117cc
0.349112,0.064576,0.213416,1.000000,0.056623,0.724828,0.094763,0.102771,0.062102,0.169259,0.107224,0.112516,d9aa7a56
0.536148,0.134709,0.083243,0.999999,0.086713,0.996540,0.143184,0.461192,0.168000,0.228442,0.250204,0.398538,9005b143
0.950914,0.932947,0.960943,0.935573,0.968705,0.998083,0.985673,0.978570,0.982683,0.979745,0.981668,0.980452,5f6d3988
0.131248,0.029996,0.096949,0.998614,0.616893,0.754946,0.168203,0.097638,0.108987,0.163357,0.134546,0.110780,9ad70954
0.616639,0.552494,0.209541,0.532547,0.259280,0.525768,0.259966,0.546708,0.231752,0.397221,0.358912,0.498186,b9087b9e
0.445198,0.176750,0.363956,0.999999,0.347954,0.279042,0.175184,0.505406,0.064992,0.187762,0.233336,0.416978,a39a1427
0.048861,0.041699,0.011364,0.092650,0.560168,0.537227,0.049411,0.021100,0.050110,0.001000,0.030405,0.019368,82fbe8ed
0.000029,0.000000,0.000173,0.000048,0.002972,0.000204,0.006375,0.004900,0.009308,0.001000,0.005396,0.004482,1fae4879
0.007799,0.000127,0.001180,0.001270,0.008831,0.499038,0.012518,0.005841,0.017597,0.018003,0.013490,0.008914,6dd8f13d
0.018458,0.022020,0.155540,0.278093,0.173687,0.377242,0.027305,0.015808,0.016123,0.042056,0.025323,0.020736,bbad5958
0.644549,0.136578,0.213373,0.999999,0.485109,0.980749,0.351651,0.577470,0.380206,0.393740,0.425767,0.530644,54527583
0.301876,0.021003,0.014280,0.999849,0.979990,0.993814,0.355265,0.664664,0.344915,0.295744,0.415147,0.575147,be8fa29c
0.995421,0.996508,0.997469,0.983766,0.993261,0.910906,0.988852,0.994674,0.982739,0.999000,0.991316,0.996071,81a3328f
0.000718,0.000010,0.000402,0.019100,0.006217,0.017251,0.006666,0.005156,0.009257,0.001000,0.005520,0.004670,1a3c0ab3
0.727930,0.655007,0.672791,1.000000,0.928205,0.998720,0.936073,0.985892,0.957519,0.999000,0.969621,0.987790,4deeeb8b
0.526383,0.167642,0.339384,1.000000,0.773413,0.999900,0.563092,0.713586,0.567740,0.569391,0.603452,0.677816,ac6d5632
0.270050,0.098588,0.045173,0.999998,0.725840,0.997079,0.292598,0.475191,0.263865,0.272387,0.326010,0.423712,472dadb5
0.897861,0.842749,0.933578,0.991062,0.952858,0.981241,0.979934,0.980022,0.981393,0.977426,0.979694,0.981017,96093f95
0.953201,0.965811,0.971201,0.994118,0.989628,0.996468,0.988170,0.990073,0.982793,0.979168,0.985051,0.988946,f5b4e3df
0.122647,0.008990,0.007960,0.163113,0.008637,0.039353,0.008916,0.007767,0.009487,0.027598,0.013442,0.011586,e01a3c92
0.588371,0.185266,0.242469,0.999980,0.598509,0.997372,0.444676,0.641998,0.460697,0.473361,0.505183,0.599160,001680af
0.110942,0.135533,0.044428,0.287770,0.171089,0.249472,0.026037,0.025245,0.013215,0.053753,0.029562,0.029765,8e639f33
0.930607,0.905288,0.959842,0.723769,0.940880,0.955296,0.979350,0.966621,0.982490,0.978840,0.976825,0.971343,a2c16612
0.003748,0.000014,0.000408,0.982670,0.012412,0.466602,0.026008,0.017749,0.016178,0.054766,0.028675,0.024556,a6d76474
0.446111,0.148166,0.428829,1.000000,0.768201,0.607814,0.452719,0.623778,0.368572,0.449017,0.473521,0.574735,19c47684
0.136014,0.008534,0.002360,0.919094,0.036799,0.016446,0.016793,0.020185,0.009633,0.063110,0.027430,0.027482,015827b6
