orig1+TLres50,trans1+TLvgg16+Adam,normf1+TLvgg16,mix+lr,mix+lgb,mix+svm,is_iceberg,lr9,xgb,svm,knn,avg2,mini2,id
0.001405,0.007866,0.028444,0.000733,0.001917,0.010821,0,0.006736,0.006383,0.009217,0.001000,0.005834,0.005584,dfd5f913
0.000000,0.000000,0.000206,0.000000,0.000046,0.000100,0,0.006660,0.006825,0.010184,0.001000,0.006167,0.005980,e25388fd
0.859876,0.858316,0.833085,0.962498,0.996452,0.956615,1,0.976826,0.996589,0.981023,0.999000,0.988359,0.997385,58b2aaa0
0.000337,0.003162,0.002622,0.000008,0.001263,0.000100,0,0.006764,0.006825,0.010174,0.001000,0.006191,0.005979,4cfc3a18
0.006346,0.000255,0.017979,0.121713,0.046099,0.075974,0,0.006339,0.010221,0.006202,0.001000,0.005940,0.008245,271f93f4
0.999778,0.996920,0.998533,0.997964,0.999820,0.999900,1,0.990583,0.998491,0.983414,0.999000,0.992872,0.998969,b51d18b5
0.938238,0.967257,0.867363,0.907990,0.991858,0.982073,1,0.984898,0.992824,0.983163,0.999000,0.989971,0.994718,31da1a04
0.054986,0.479746,0.249921,0.216860,0.169076,0.533800,0,0.094106,0.107963,0.061788,0.082662,0.086630,0.100259,56929c16
0.006049,0.001392,0.024439,0.000000,0.000948,0.000100,0,0.004651,0.003878,0.006219,0.001000,0.003937,0.003508,525ab75c
0.287602,0.081951,0.155503,0.714398,0.462956,0.804160,0,0.141735,0.064085,0.121249,0.150859,0.119482,0.084221,192f56eb
0.643886,0.650423,0.748696,0.929023,0.966710,0.961088,1,0.943923,0.991032,0.957898,0.999000,0.972963,0.991656,3aac67cd
0.000407,0.000306,0.002649,0.000094,0.000304,0.000121,0,0.006161,0.007773,0.009262,0.001000,0.006049,0.006625,161a6860
0.608541,0.899327,0.890931,0.973372,0.520359,0.794784,1,0.938172,0.812759,0.938683,0.882000,0.892904,0.835380,3c794f0c
0.672099,0.900999,0.638745,0.736047,0.630688,0.808822,1,0.886387,0.934431,0.929297,0.802531,0.888162,0.910856,86730f0d
0.001517,0.002865,0.001580,0.154465,0.092202,0.087097,0,0.010289,0.046365,0.010357,0.021710,0.022180,0.039387,e356f7a3
0.008293,0.016591,0.071566,0.009736,0.000940,0.012512,0,0.007677,0.010117,0.009296,0.001000,0.007023,0.008379,87592c38
0.395006,0.134649,0.123334,0.688618,0.830886,0.763576,0,0.309066,0.048736,0.329677,0.264262,0.237935,0.108070,1c18a39e
0.030032,0.072135,0.020747,0.320693,0.004014,0.079316,0,0.014938,0.001894,0.011951,0.043364,0.018037,0.010300,a210f335
0.203369,0.386867,0.249547,0.038414,0.008033,0.088163,0,0.035613,0.038200,0.021559,0.024706,0.030019,0.034608,958d155f
0.471400,0.758480,0.499664,0.450051,0.620073,0.316056,1,0.617249,0.909381,0.604341,0.700472,0.707861,0.850989,6d81d201
0.017764,0.006189,0.048481,0.008203,0.017844,0.004292,0,0.007397,0.009927,0.009237,0.001000,0.006890,0.008233,75126706
0.084159,0.601634,0.789117,0.143754,0.871721,0.586970,1,0.765010,0.527551,0.702210,0.709025,0.675949,0.573977,112a6cfa
0.000000,0.000000,0.000058,0.000033,0.000299,0.002477,0,0.006131,0.006383,0.009258,0.001000,0.005693,0.005586,a29662a4
0.998675,0.999690,0.999594,0.996010,0.984590,0.981205,1,0.990035,0.993125,0.983070,0.999000,0.991308,0.994936,bd1a1bdf
0.000000,0.000137,0.000018,0.000013,0.001081,0.078340,0,0.007024,0.006193,0.008921,0.001000,0.005784,0.005421,31e37d93
0.996732,0.995288,0.999599,0.984205,0.996774,0.986591,1,0.988628,0.993122,0.980731,0.999000,0.990370,0.994774,76b8d446
0.163231,0.131698,0.054178,0.980769,0.402647,0.905863,1,0.120279,0.538183,0.109039,0.128547,0.224012,0.433450,958d42a8
0.007381,0.000594,0.017053,0.000089,0.000511,0.000263,0,0.004559,0.003878,0.006215,0.001000,0.003913,0.003507,70830858
0.603561,0.563246,0.499234,0.904569,0.994263,0.662117,1,0.849668,0.974140,0.862396,0.913473,0.899919,0.956607,faf2c49e
0.000049,0.000043,0.001216,0.000038,0.000123,0.000100,0,0.006676,0.006825,0.010182,0.001000,0.006171,0.005980,02314c59
0.084025,0.004525,0.019014,0.000219,0.056044,0.001544,0,0.008289,0.017508,0.010284,0.116759,0.038210,0.035510,6332531e
0.000000,0.000000,0.000000,0.000006,0.001323,0.002715,0,0.006449,0.006200,0.008981,0.001000,0.005658,0.005431,c05730c3
0.984093,0.987478,0.993060,0.763528,0.999184,0.568744,1,0.979613,0.996365,0.974956,0.926771,0.969426,0.983362,83dd3a43
0.756380,0.509600,0.239713,0.951972,0.667373,0.981529,1,0.665589,0.369652,0.749073,0.678648,0.615741,0.453549,f193e8b0
0.905925,0.876558,0.833066,0.942748,0.994777,0.990687,1,0.976684,0.989366,0.979070,0.999000,0.986030,0.991855,132118fc
0.826343,0.906288,0.874454,0.879211,0.970451,0.885623,1,0.975928,0.981684,0.980852,0.999000,0.984366,0.986237,93a797d3
