id,is_iceberg
5941774d,0.494367
4023181e,0.517940
b20200e4,0.015661
e7f018bb,0.650584
4371c8c3,0.846891
a8d9b1fd,0.093003
29e7727e,0.550738
92a51ffb,0.953015
c769ac97,0.053471
aee0547d,0.005519
565b28ac,0.038790
e04e9775,0.148394
8e8161d1,0.007853
4cf4d256,0.798649
139e5324,0.457113
f156976f,0.030362
68a117cc,0.203237
d9aa7a56,0.299478
9005b143,0.144120
5f6d3988,0.863003
9ad70954,0.487994
b9087b9e,0.767334
a39a1427,0.186543
82fbe8ed,0.342961
1fae4879,0.014467
6dd8f13d,0.213151
bbad5958,0.441706
54527583,0.145244
be8fa29c,0.618463
81a3328f,0.971152
1a3c0ab3,0.323656
4deeeb8b,0.766108
ac6d5632,0.240229
472dadb5,0.250766
96093f95,0.728667
f5b4e3df,0.907087
e01a3c92,0.509477
001680af,0.463204
8e639f33,0.352751
a2c16612,0.508674
a6d76474,0.104179
19c47684,0.081364
015827b6,0.382006
7df7f7ce,0.069158
0bbf1a3f,0.087450
636cfbb7,0.899274
7370030a,0.899586
43aa97ad,0.032947
ba2b5e63,0.614348
dfdd335b,0.163341
e79b13dc,0.133949
dc32b195,0.130166
6d868590,0.958344
75fa59aa,0.798235
ffe50836,0.021702
a7bfd784,0.722086
b3d569e3,0.514051
6c538c5b,0.619961
5c7c15f4,0.026579
0b745139,0.422142
fd14608e,0.226673
f0bc8305,0.566385
a10ccb28,0.812227
543304c7,0.244030
6c3a4078,0.039589
9b73cc75,0.429959
5c6c71b1,0.022562
09ee9186,0.428107
207c35cf,0.096825
153c813e,0.066968
5605d58b,0.829084
642ca396,0.460994
d32d72c0,0.602000
16646a17,0.893035
384074af,0.056156
69bf1e8c,0.756905
9e90a054,0.300707
89dbe7f7,0.665928
dbd27d22,0.135670
a2ea1561,0.418339
d63402af,0.172061
1ac8bb92,0.785629
8beffca5,0.323581
46741f3e,0.024586
e5ee6aa7,0.092868
5ecd892b,0.674812
69892166,0.806372
2f725a81,0.068977
810abfe4,0.089233
e6f973e6,0.254470
c60a5c46,0.494530
c42b9e08,0.055458
c3f00c23,0.033761
5307fdb8,0.565847
3e4f005e,0.021960
4a4cc2e0,0.822731
9bdd88d1,0.004686
0d832bed,0.562925
14a134fa,0.082840
78a41676,0.137318
0bd4658e,0.536444
4a311bb0,0.271441
f939c817,0.208401
956adc4d,0.668488
f8a119f5,0.710105
61faa1ad,0.227353
6725eb3e,0.521654
17b3a8fd,0.209947
49a88dfc,0.083479
2d6ec645,0.635268
0d4d77ba,0.177384
3ee672a2,0.972115
738b41fd,0.502507
f7fb320d,0.442373
b42fad18,0.009355
4ab8b00a,0.415322
f7870f2b,0.264653
4978666a,0.226752
f1b0d6c7,0.400655
5642407f,0.091910
36d4ff92,0.846561
4139aba2,0.325735
7585ce58,0.615375
33e25984,0.858426
ac46f3c9,0.651516
fc34a5b8,0.817674
85c36a8f,0.379724
b2d8a426,0.618952
13ec60d1,0.671738
9d440f42,0.056589
1c0a891e,0.584730
981c3bc3,0.902354
295604f4,0.184075
16ca16c3,0.242864
b4dda837,0.686617
88d088ef,0.504299
1b4fa160,0.076384
f371bd82,0.102604
b130a0b7,0.776870
ebf1de82,0.623562
01e651c3,0.057340
51b1fecc,0.298446
fa635a31,0.265812
97b7d789,0.201530
2f598053,0.300846
c0e3e148,0.488959
cfa175a8,0.331371
3d7e09d8,0.729226
44a13d1b,0.858571
c66b0948,0.462361
976a6d64,0.259760
8bbd8909,0.513056
522890fd,0.194192
f23a3b95,0.601782
680039dc,0.627978
93028e53,0.086771
22a16932,0.251395
7d8126d2,0.279195
ba2ecd75,0.036613
8071bdd7,0.666679
96d5aeee,0.038081
154be68f,0.520318
d8c2bfe2,0.934661
f76d47b0,0.359826
0e781ade,0.032375
13cf6060,0.005479
cd99f710,0.707272
d10005bb,0.096667
3a31445f,0.932630
3157202d,0.813431
6ee64703,0.155076
e5de8685,0.812446
02cc70ba,0.663521
50984a87,0.742887
fa94957a,0.521237
eab406b4,0.878247
3ad39398,0.745017
9ecf3802,0.146136
6048ae7b,0.019589
9dc68871,0.324748
13701465,0.804183
8d8779f3,0.029460
0712f269,0.576406
722c2597,0.246031
478a2b08,0.281373
38f5fb41,0.663062
c52ad74d,0.873477
0c85fd09,0.014932
f1582cba,0.867574
ff836697,0.416233
ddfe4802,0.300700
3cef3bc7,0.859301
6a21542b,0.523822
150e23c4,0.867450
078c6d99,0.912151
1dcd1dc3,0.037285
39967e45,0.357002
6b6333aa,0.014063
4ae61433,0.623105
f96362e0,0.140930
97a88aac,0.145407
427ae8ce,0.261708
209d4b15,0.094883
64b453bd,0.005267
0f5a484e,0.628284
5ac74969,0.761121
736ed43e,0.362956
8533795f,0.155001
f5b54fb6,0.188994
6eb4c041,0.693252
97afdf42,0.338287
1bb488db,0.024478
f132e44d,0.020726
d3c2f140,0.729579
1756794d,0.135584
9efcc11f,0.003927
14c966cf,0.457807
59cfe4d1,0.625769
883151f4,0.050392
34c4c9ff,0.760986
70b4c2eb,0.182510
96a337d9,0.551086
7fe89ffa,0.845610
057c7a22,0.005377
451cc057,0.207091
05076700,0.012209
dc52f6c1,0.244315
b03a59f9,0.248837
129ed4b0,0.744153
fb611563,0.965238
ac32e6f1,0.197900
c05c5ab0,0.301887
3163d5ed,0.060182
02096ca4,0.635550
e92496c0,0.082768
1a9e2c50,0.814278
0864e334,0.845071
d976faeb,0.501518
1d7b342f,0.143691
281bc1ea,0.004354
bea9f0cf,0.493976
f4afa0e6,0.002860
e1b5ef69,0.052162
b50539fd,0.151411
2a8c9c15,0.300112
157ebb0c,0.797130
247d3614,0.031510
0c6cc0cb,0.125950
aae88d39,0.242581
0c77b464,0.314275
963cf5ea,0.289121
1b371d8b,0.582399
225bc00f,0.221823
bc0a4eec,0.321001
1099782e,0.512645
a18feadd,0.898493
ad7f4932,0.220515
5f8f831e,0.871245
b5167c35,0.409801
0230b06d,0.277948
f8d7f7ba,0.555155
08bd1053,0.158453
58e4dc8c,0.058525
4793ce8e,0.164874
304caab4,0.004256
f2ee6d7f,0.396969
e1f9c0e4,0.588513
8e40401c,0.049772
5d9eaba2,0.304510
55e7562c,0.851324
9da6cb4b,0.380121
c3c1c8ec,0.025813
3b38698e,0.677104
6c9eb909,0.603398
482a3d1d,0.410194
0e9918f0,0.747669
ef894fd2,0.123198
4b82e7f7,0.938502
b9cdd7fb,0.580400
94a496f4,0.319281
995eacae,0.472157
41b02e58,0.880475
69f04617,0.148708
c889a03c,0.849977
91f98acf,0.913848
9135c19f,0.948277
1f0e9c09,0.018672
260d6e8e,0.056531
46334397,0.001786
f34ddf31,0.358232
4d6177d7,0.738264
76a57270,0.774950
217b8cea,0.074615
9a45a566,0.093980
1b55c75e,0.003523
7bd92ec6,0.968074
6c409f41,0.479284
df3e48eb,0.044193
62723e57,0.152871
b8e627bf,0.030295
86bb5d85,0.205098
77e5034c,0.564274
607079e5,0.493892
96879fb4,0.060867
6afe606d,0.589554
4129802f,0.794544
a42300ef,0.511083
1af842f5,0.722619
3fe57d78,0.955700
f4e60ed5,0.875326
68c8337b,0.665290
914ed5b5,0.356619
a6bb5987,0.256234
c781c439,0.503072
47a1a25e,0.564824
80ea0713,0.558229
a9d001bc,0.552086
f94d098a,0.933539
3e230e0e,0.014582
24afa485,0.082886
bc37db7f,0.305788
83f99e4d,0.001662
1a8d86f7,0.344936
38136419,0.538984
d393e637,0.408976
36902570,0.947865
327f7b25,0.910292
3f8543c6,0.145633
a0d42a70,0.615868
e07ba430,0.601699
c6e53803,0.244936
fec4dad8,0.629633
933fc5ba,0.133317
c27eda4e,0.928607
9b94d2c2,0.478086
a2dbdb31,0.541846
816258dd,0.393308
81f11218,0.036375
c4bd9d04,0.721827
c6ce9bf9,0.150883
a7b3cc29,0.141754
527870bf,0.621945
9af26068,0.641452
0b591e70,0.970137
2b1e57c5,0.316212
194db786,0.849677
e09ba644,0.595762
fa2ed3e5,0.907359
1ba92726,0.195740
8c8f45b4,0.009415
f8889f44,0.050840
598e255b,0.043043
45f1aa7a,0.351975
022956a3,0.020139
d406064d,0.120440
76617947,0.089194
d0e5dccb,0.568997
33271da6,0.049258
0840e2b1,0.878066
521a9f4d,0.673857
7286b1dc,0.092720
5b6acc2d,0.319596
e034cd34,0.060689
46577660,0.518695
bb4d6f24,0.229022
bfc7a3f2,0.512563
abc66be8,0.159171
3627189f,0.881266
e49a77f6,0.054762
a209d7ee,0.039461
dee69cf6,0.555982
9a6261a0,0.518835
a8e444c6,0.469427
a6a66a28,0.912850
db7022ff,0.011150
0dfb45d9,0.538152
81c983aa,0.184304
a98fb5e1,0.867406
99e004d7,0.477153
d16e5fbb,0.062449
3c352f9e,0.216419
12202699,0.421393
86af0236,0.659431
f3703e6f,0.892471
4a71dc34,0.784034
321edcdc,0.448228
e365a657,0.061410
45755c9c,0.138763
873b0829,0.082946
72ccd009,0.694803
205243d9,0.921885
d9202f36,0.168427
9d0c30b0,0.050998
56644ace,0.568153
c63f527f,0.643638
bb84b9bd,0.710187
6f68caf0,0.111151
8492119b,0.021934
71bde48d,0.947916
d2d6e2ba,0.219325
6f4b309c,0.288903
b3cc5ba3,0.727301
fee39547,0.305505
4893137a,0.823643
e283c4c4,0.089211
25bac62b,0.806854
8fd88dd6,0.034158
b48c104e,0.305660
221d500b,0.206274
8f0de087,0.417035
32342e03,0.052363
a8da99d8,0.125886
93203755,0.799950
d3c88528,0.835261
0d7a17b3,0.425323
bd72f5ec,0.927622
e953c0fd,0.291959
e730b6c6,0.809397
c086033a,0.274612
a521d303,0.085837
b023957a,0.822399
3e0f04e8,0.036600
60647cba,0.099518
2f5c43a8,0.932531
b54ba69b,0.880136
eac962ff,0.245708
7e2a3763,0.228043
9362d863,0.116546
8f1b833c,0.358154
79727ff5,0.686061
62614c75,0.744210
75a03adf,0.062235
cf138392,0.639845
bf467a96,0.185428
c8b34651,0.374337
105a5c54,0.432293
bf6de75c,0.191061
060702c8,0.673236
921bad2c,0.395888
e0d17eb0,0.065213
9a3825c9,0.427773
8eda717f,0.332886
78906e0c,0.894219
